"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"site_country","The country of the site location.","text","2023-09-20","255"
"site_latitude","The latitude of the site location.","number","2023-09-20","10"
"site_longitude","The longitude of the site location.","number","2023-09-20","10"
"network_operator_name","The name of the network operator.","text","2023-09-20","255"
"gnodeb_id","The gNodeB ID of the cell site.","number","2023-09-20","10"
"site_admin_level_1","The first administrative level (admin level 1) of the cell site location. Depending on locale, this can be the state, province, or region where the cell site is located.","text","2023-09-20","255"
"site_admin_level_2","The second administrative level (admin level 2) of the cell site location. Depending on locale, this can be the county or province where the cell site is located.","text","2023-09-20","255"
"cell_frequency_channel","The type of cell frequency channel, such as ARFCN, UARFCN, EARFCN.","number","2025-06-30","225"
"cell_frequency_bands","The cell frequency band.","number","2025-09-05","100"
"network_operator_mcc","The MCC code associated with the connected cell site during the test.","number","2025-09-05","3"
"network_operator_mnc","The MNC code associated with the connected cell site during the test.","number","2025-09-05","3"
