"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"test_id","A unique ID for every speedtest performed based on the platform. ","number","2020-10-01","11"
"test_method_a","The communication protocol used by the test. Whenever possible, the test makes a direct TCP connection with the testing server, which allows for greater testing accuracy, especially at higher speeds. In instances where the device is unable to establish a TCP connection with the test server on the appropriate port, the test falls back to using basic HTTP file transfers to determine the device's bandwidth. 1 = HTTP, 2 = TCP, 5 = HTTP-IPV6, 6 = TCP-IPV6","number","2020-10-01","3"
"test_date","Date and time of the test in Pacific time zone (GMT -8).","datetime","2020-10-01","19"
"client_ip_address","This is the IP address from which the request to Ookla's reporting API was generated. Devices behind networks with carrier grade NAT may appear to share the same IP address.","text","2020-10-01","15"
"client_ipv6_address","Speedtest user's IPV6 address. We mask IP addresses for end users privacy, but show enough to allow clients to see which provider is offering the user's internet service.  Please note that this address may not be the connection that the Speedtest was taken over (unless there is no IPV4 address populated).","text","2020-10-01","255"
"download_kbps","The result of the download portion of the test, measured in kilobits per second.","number","2020-10-01","11"
"upload_kbps","The result of the upload portion of the test, measured in kilobits per second.","number","2020-10-01","11"
"latency","The result of the latency portion of the test, measured in milliseconds.","number","2020-10-01","6"
"jitter_a","The variance in latency over time which determines the stability of the internet connection.","number","2020-10-01","4"
"ploss_sent_a","The number of packages sent to host server from device. To determine packet loss percentage, take the ploss_recv divided by ploss_sent. 100% means zero packet loss since 100% of the packets were sent and received.","number","2020-10-01","5"
"ploss_recv_a","The number of packages received by the host server from device. To determine packet loss percentage, take the ploss_recv divided by ploss_sent. 100% means zero packet loss since 100% of the packets were sent and received.","number","2020-10-01","5"
"download_thread_count_a","The maximum number of download threads used during adaptive testing, maximum of 22 threads","number","2020-10-01","3"
"upload_threads_s","The number of threads used in the upload test.","number","2020-10-01","5"
"download_kb_a","The bytes used during a test for the download portion, in kilobytes","number","2020-10-01","8"
"upload_kb_a","The bytes used during a test for the upload portion, in kilobytes","number","2020-10-01","8"
"download_test_duration_a","The length, in milliseconds, of the speedtest based on adaptive testing, maximum test length being 15 seconds","number","2020-10-01","5"
"download_stop_reason_a","Indicates whether the speedtest was able to complete before the maximum test duration.  0 = Early stop did not occur. Full test duration or byte limit was hit1 = Early stop occurred","number","2020-10-01","1"
"server_name","The name of the server used for the test. This is typically the city where the server is located.","text","2020-10-01","255"
"server_country","The country where the server used for the test is located.","text","2020-10-01","255"
"server_country_code","The two letter country code (ISO 3166-1 alpha-2) of where the test server is located.","text","2020-10-01","2"
"server_latitude","The latitude of the server used for the test.","number","2020-10-01","10"
"server_longitude","The longitude of the server used for the test.","number","2020-10-01","10"
"server_sponsor_name","The name of the test server sponsor. Combining server name and server sponsor will create a unique name for each server.","text","2020-10-01","255"
"server_selection_a","Whether the server used in the Speedtest was selected automatically or manually by the user  ""Auto"" indicates that the server was selected automatically ""User"" indicates that the server was selected manually by the user","text","2020-10-01","4"
"miles_between","Distance (in miles) between user at the start of the test and location of server.","number","2020-10-01","9"
"km_between","distance (in kilometers) between user at the start of the test and location of server.","number","2020-10-01","9"
"client_country","The country where the device is located.","text","2020-10-01","255"
"client_country_code","The two letter country code (ISO 3166-1 alpha-2) of where the device was located.","text","2020-10-01","2"
"client_region_name","The region within a country where the test was conducted. How each country is divided into regions varies country to country, but this is typically the top level region as described in ISO-3166-2. If this field is labeled unknown and the field location type equals 2, we were unable to confidently assign a region to the record and the location is only accurate to the country level.","text","2020-10-01","255"
"client_region_code","The ISO-3166-2 region code of where the test was conducted.","text","2020-10-01","3"
"client_city","The city where the test was conducted. If this field is labeled unknown and the location type field equals 2, we were unable to confidently assign a city to the record and is only accurate to the region level.","text","2020-10-01","255"
"client_latitude_start","The starting latitude of the device conducting the test. If location type equals 2, this value is approximate.","number","2020-10-01","10"
"client_longitude_start","The starting longitude of the device conducting the test. If location type equals 2, this value is approximate.","number","2020-10-01","10"
"client_latitude_end","The ending latitude of the device conducting the test. If location type equals 2, this value is approximate.","number","2020-10-01","10"
"client_longitude_end","The ending longitude of the device conducting the test. If location type equals 2, this value is approximate.","number","2020-10-01","10"
"altitude","the altitude if available, in meters above the WGS 84 reference ellipsoid. If this location does not have an altitude, 0 is returned.","number","2020-10-01","6"
"vertical_accuracy_a","Estimated vertical (altitude) accuracy of this location, in meters","number","2020-10-01","5"
"location_type_start","The method used to determine the device's location at the start of the test. Whenever possible, the speedtest.net mobile application uses the device's location services to determine an accurate latitude and longitude of the device. However, in an effort to maintain a quick and easy user experience, if the device's location services are either unavailable or unable to return an accurate location within a few seconds, we fall back to using third party Geo-IP location services. 1 = GPS / device location services, 2 = Geo-IP.","number","2020-10-01","3"
"location_type_end","The method used to determine the device's location at the end of the test. Whenever possible, the speedtest.net mobile application uses the device's location services to determine an accurate latitude and longitude of the device. However, in an effort to maintain a quick and easy user experience, if the device's location services are either unavailable or unable to return an accurate location within a few seconds, we fall back to using third party Geo-IP location services. 1 = GPS / device location services, 2 = Geo-IP.","number","2020-10-01","3"
"location_age_a","Age that the location was recorded, in milliseconds NULL means that the location age wasn't captured","number","2020-10-01","11"
"location_accuracy_a","The accuracy of the location data collected from the device expressed in meters.","number","2020-10-01","5"
"loc_timezone_offset_seconds_a","device local timezone offset in seconds from GMT derived from reverse geocoding (location)","number","2020-10-01","9"
"loc_timezone_name_a","local timezone name derived from reverse geocoding (location)","text","2020-10-01","50"
"timing_advance_a","LTE Timing Advance measured in Ts. 2147483647 represents unknown.","number","2020-10-01","11"
"timezone_offset_seconds_a","User's timezone offset relative to GMT, in seconds.","number","2020-10-01","9"
"timezone_name_a","Name of user's timezone at location of test.","text","2020-10-01","50"
"gmaps_country","Country where test is taken.","text","2020-10-01","100"
"gmaps_country_code","Country code where test is taken.","text","2020-10-01","2"
"gmaps_region","Region name where test is taken. This is the first-order civil entity in a country level. Depending on the country, these are states, provinces, or territories, etc.","text","2020-10-01","100"
"gmaps_subregion","Region name where test is taken. This is the second-order civil entity in a country level. Depending on the country, these are county-level names. Not all countries display this information.","text","2020-10-01","100"
"gmaps_subsubregion","Region name where test is taken. This is the third-order civil entity in a country level. Depending on the country, these are the level under counties. Not all countries display this information.","text","2020-10-01","250"
"gmaps_name","Unabbreviated location name; typically the city where the test is taken.","text","2020-10-01","100"
"gmaps_type","Type of locality where test is taken. This is typically an incorporated city or town political entity.","text","2020-10-01","100"
"gmaps_postal_code","Postal code for the test location. The postal code is that same as what is used to address mail within the country.","text","2020-10-01","100"
"gmaps_formatted_address","Full location name including city, county, region, and country, if available.","text","2020-10-01","100"
"isp_name","The name of the device's ISP, derived from the IP address in the client_ip_address field.","text","2020-10-01","255"
"isp_common_name_a","Common (marketing) name of the ISP","text","2020-10-01","255"
"is_isp","Indicates whether or not a user's connection is an ISP. 1 = true, 0 = false. 0 generally indicates government, university, or corporate connections.","number","2020-10-01","1"
"network_operator_name","The name of the network operator, as displayed by the device. This field is generally accurate, but is not reliable. Custom versions of Android, including carrier specific versions, may modify this string, and carriers have used different spellings and brandings on their network names. 2020-05-28: When Ookla can more accurately identify the active network operator via Android CellIdentity APIs, it will overwrite the network_operator_name based on Ookla-maintained MCCMNC-to-network relations.","text","2020-10-01","255"
"mcc","Mobile Country Code (MCC) is a three digit code specific to the country where the network operator is located. A list of code and countries can be found here.","number","2020-10-01","3"
"mnc","Mobile Network Code (MNC). A three digit identifier specific to a network operator within a given country. When combined with the Mobile Country Code, each mobile network can be uniquely identified. A fairly comprehensive list of Mobile Network Codes can be foundhere, but each country regulates their MNCs individually, so codes may appear or change without any notice.","number","2020-10-01","3"
"ookla_carrier_name_a","Mobile operator name as determined by Ookla based on our research on how the operator is marketed","text","2020-10-01","150"
"alt_sim_operator_alpha_long_a","The long carrier name from alternate SIM card when using a dual SIM device.","text","2020-10-01","255"
"alt_sim_network_operator_name_a","Mobile carrier name from alternate SIM card when using a dual SIM device.","text","2020-10-01","255"
"alt_sim_network_operator_code_a","The mobile country code (MCC) and mobile network code (MNC) from alternate SIM card when using a dual SIM device.","text","2020-10-01","10"
"sim_network_operator_name_a","Similar to the network_operator_name field, this is the network operator name associated with the sim card installed in the device, rather than the current network the device is registered on. Some devices may report ""null"" if the network associated with the sim is the same as the current registered network. For dual SIM devices, this will show as the sim that is being used to take the test, not necessarily the network that the test was taken over.","text","2020-10-01","255"
