"Field Name","Definition","Data Type","Date Available","Max Field Size"
"ts_received","Date and time that Ookla received the test result from the device.","datetime","2022-03-01","35"
"id_result","Unique ID of the test.","number","2022-03-01","20"
"id_user","Public-facing unique ID of the user/device.","text","2022-03-01","32"
"attr_isp_name","ISP name associated with IP Address. In some cases, this may report a secondary name of an ISP, for example ABC Fiber.","text","2022-03-01","255"
"attr_isp_common_name","ISP common name associated with IP Address. This will be the name displayed in the Speedtest Intelligence portal.","text","2022-03-01","255"
"id_platform","Denotes the platform on which the test was taken:1 = Android2 = iOS3 = Web4 = MacOS5 = Windows","number","2022-03-01","1"
"attr_app_version","User's Speedtest app version.","text","2022-03-01","11"
"attr_os_version","The version of the operating system being used by the device.","number","2022-03-01","20"
"attr_place_name","Unabbreviated location name; typically the city where the test is taken.","text","2022-03-01","100"
"attr_place_country","Country from where test is taken.","text","2022-03-01","255"
"attr_place_country_code","Country code of country where test is taken.","text","2022-03-01","2"
"attr_place_region","Region name where test is taken. This is the first-order civil entity in a country level. Depending on the country, these are states, provinces, or territories, etc.","text","2022-03-01","100"
"attr_place_subregion","Region name where test is taken. This is the second-order civil entity in a country level. Depending on the country, these are county-level names. Not all countries display this information.","text","2022-03-01","100"
"attr_place_postal_code","Postal code for the test location. The postal code is the same as what is used to address mail within the country. Not all countries display this information.","text","2022-03-01","100"
"attr_location_latitude","Latitude of client testing. If GPS isn't used, then this is determined by Maxmind's GeoIP.","number","2022-03-01","10"
"attr_location_longitude","Longitude of client testing. If GPS isn't used, then this is determined by Maxmind's GeoIP.","number","2022-03-01","10"
"attr_location_altitude","Altitude of the client testing (if available), in meters above the WGS 84 reference ellipsoid. If this location does not have an altitude, 0 is returned.","number","2022-03-01","6"
"id_location_type","The source of information determining location of test. 1 = GPS (direct lat/long), 2 = Maxmind (GeoIP)","number","2022-03-01","1"
"attr_location_accuracy_m","The accuracy of the location data collected from the device expressed in meters.","number","2022-03-01","5"
"id_connection_type","Connection type associated with the test. Most common responses will be 0, 2, and 22. 0 = Unknown; 1 = Cell; 2 = Wifi; 3 = Gprs; 4 = Edge; 5 = Umts; 6 = Cdma; 7 = Evdo0; 8 = EvdoA; 9 = OnexRTT; 10 = Hsdpa; 11 = Hspa; 12 = Iden; 13 = Ehrpd; 14 = EvdoB; 15 = Lte; 16 = Hsupa; 17 = Hspap; 18 = Gsm; 19 = TdScdma; 20 = IWLan; 21 = LteCa; 22 = Ethernet; 23 = Bluetooth","number","2022-03-01","4"
"attr_ip_address","This is the IP address from which the request to Ookla's reporting API was generated. The last octet of the user's external IP address is masked for addresses that are not on your network. Full IP addresses are available for your customers. Devices behind networks with carrier grade NAT may appear to share the same IP address.","text","2022-03-01","15"
"attr_wifi_frequency_mhz","The frequency the WiFi router is connecting with when test is taken. ","number","2022-03-01","5"
"attr_wifi_channel_width_mhz","The width of the Wifi channel (in MHz). ","number","2022-03-01","3"
"is_wifi_5ghz_supported","""TRUE"" if the frequency of the wifi router supports 5 GHz when the test is taken.","text","2022-03-01","5"
