"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"building_id","The internal building ID assigned to a structure.","text","2022-03-15","10"
"building_latitude","The latitude of the building centroid.","number","2022-03-15","10"
"building_longitude","The longitude of the building centroid.","number","2022-03-15","10"
"building_size","The area of a building in square meters.","number","2022-03-15","5"
"building_country","The country where the building is located.","text","2022-03-15","255"
"user_density_indoor","Count of unique devices for all carriers inside the building during the measurement interval.","number","2022-03-15","5"
"mobile_usage","Amount of mobile traffic measured (in MB) within the building for all carriers.","number","2022-03-15","7"
"wifi_usage","Amount of WiFi traffic measured (in MB) within the building for all carriers.","number","2022-03-15","7"
"all_usage","Amount of all traffic measured (in MB) within the building for all carriers.","number","2022-03-15","7"
"network_operator_name","The name of the network operator.","text","2022-03-15","255"
"lte_rsrp_average","The average LTE RSRP (in dBm) measured in the building.","number","2022-03-15","5"
"lte_rsrp_min","The minumum LTE RSRP (in dBm) measured in the building.","number","2022-03-15","5"
"lte_rsrp_max","The maximum LTE RSRP (in dBm) measured in the building.","number","2022-03-15","5"
"lte_rsrp_p50","The median LTE RSRP (in dBm) measured in the building.","number","2022-03-15","5"
"lte_rsrp_p85","The 85th percentile LTE RSRP (in dBm) measured in the building.","number","2022-03-15","5"
"lte_rsrp_stdev","The standard deviation of the LTE RSRP (in dBm) measured in the building.","number","2022-03-15","5"
"lte_rsrq_average","The average LTE RSRQ (in dB) measured in the building.","number","2022-03-15","5"
"lte_rsrq_min","The minumum LTE RSRQ (in dB) measured in the building.","number","2022-03-15","5"
"lte_rsrq_max","The maximum LTE RSRQ (in dB) measured in the building.","number","2022-03-15","5"
"lte_rsrq_p50","The median LTE RSRQ (in dB) measured in the building.","number","2022-03-15","5"
"lte_rsrq_p85","The 85th percentile LTE RSRQ (in dB) measured in the building.","number","2022-03-15","5"
"lte_rsrq_stdev","The standard deviation of the LTE RSRQ (in dB) measured in the building.","number","2022-03-15","5"
"lte_snr_average","The average LTE SNR (in dB) measured in the building.","number","2022-03-15","5"
"lte_snr_min","The minumum LTE SNR (in dB) measured in the building.","number","2022-03-15","5"
"lte_snr_max","The maximum LTE SNR (in dB) measured in the building.","number","2022-03-15","5"
"lte_snr_p50","The median LTE SNR (in dB) measured in the building.","number","2022-03-15","5"
"lte_snr_p85","The 85th percentile LTE SNR (in dB) measured in the building.","number","2022-03-15","5"
"lte_snr_stdev","The standard deviation of the LTE SNR (in dB) measured in the building.","number","2022-03-15","5"
"nr_ss_rsrp_average","The average 5G SS-RSRP (in dBm) measured in the building.","number","2022-03-15","5"
"nr_ss_rsrq_average","The average 5G SS-RSRQ (in dB) measured in the building.","number","2022-03-15","5"
"nr_ss_sinr_average","The average 5G SS-SINR (in dB) measured in the building.","number","2022-03-15","5"
"building_admin_level_1","The first administrative level (admin level 1) where the building is located. Depending on locale, this can be the state, province, or region where the building is located.","text","2022-06-29","255"
"building_admin_level_2","The second administrative level (admin level 2) where the building is located. Depending on locale, this can be the county or province where the building is located.","text","2022-06-29","255"
"coverage_improvement_score_admin_level_1","Buildings with relatively high user counts which have poor RF coverage for the indicated operator compared to other operators at the indicated admin level. Scores are presented on a scale of 0-100, higher score (100) indicates buildings with many users and very poor coverage for that operator. Blanks are expected, for example if user counts in the building are low.","number","2022-06-29","3"
"optimization_improvement_score_admin_level_1","Buildings with relatively high user counts which have poor RF quality but strong coverage for the indicated operator compared to other operators at the indicated admin level. Presumably these buildings are improveable through optimization. Scores are presented on a scale of 0-100, higher score (100) indicates buildings with many users and very poor quality but strong coverage for that operator. Blanks are expected, for example if user counts in the building are low.","number","2022-06-29","3"
