"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"attr_aggregation_period","The length of the aggregation time period. Options include: Half-year","text","February 6, 2025","45"
"ts_aggregate_date","The first day of the aggregation period. ","datetime","February 6, 2025","35"
"attr_place_country","The name of the country associated with the tile.","text","February 6, 2025","255"
"attr_place_country_code","The two-letter ISO country code associated with attr_place_country","text","February 6, 2025","2"
"attr_provider_name","The Ookla-maintained common name of the SIM card provider. In the case of MVNOs, this will be the name of the carrier that owns the PLMN network. This will be the mobile carrier name displayed in the Speedtest Intelligence portal.","text","February 6, 2025","255"
"attr_h3_index_resolution_7","H3 is a discrete global grid system for indexing geographies into a hexagonal grid, developed at Uber. Coordinates can be indexed to cell IDs that each represent a unique cell. https://h3geo.org/ ","integer","February 6, 2025","18"
"val_filtered_device_count","The total number of unique devices in the tile, after quality filtering.","integer","February 6, 2025","10"
"val_in_coverage_scan_count","The number of scans in the tile that are determined to be in coverage. ","integer","February 6, 2025","10"
"val_not_in_coverage_scan_count","The number of scans in the tile that are determined to not be in coverage. ","integer","February 6, 2025","10"
"val_filtered_scan_count","The total number of scans in the tile, after quality filtering. ","integer","February 6, 2025","10"
"is_tile_in_coverage","TRUE if the majority of scans in the tile are determined to have coverage.","boolean","February 6, 2025","5"
