"Field Name","Definition","Data Type","Date Available","Max Field Size"
"guid_result","A globally unique ID for every speedtest performed. ","string","2022-09-30","32"
"id_platform","Denotes the platform on which the test was taken:1 = Android2 = iOS3 = Web4 = MacOS5 = Windows","integer","2022-09-30","1"
"attr_device_xpixels","The absolute width of the device display in pixels.","number","2022-09-30","5"
"attr_device_ypixels","The absolute height of the device display in pixels.","number","2022-09-30","5"
"attr_device_xdpi","The exact physical pixels per inch of the device screen in the X dimension.","number","2022-09-30","10"
"attr_device_ydpi","The exact physical pixels per inch of the device screen in the Y dimension.","number","2022-09-30","10"
"attr_device_generalized_dpi","Generalized DPI of the user's device: 480=xxhdpi, 320=xhdpi, 240=hdpi, 160=mdpi, 120=ldpi","number","2022-09-30","5"
"attr_device_generalized_size","Generalized size of the user's device: 1=small, 2=normal, 3=large, 4=xlarge","number","2022-09-30","5"
"attr_device_orientation","Orientation of the user's device during test: 0=undefined, 1=portrait, 2=landscape, 3=square","number","2022-09-30","4"
"is_power_save_mode_enabled","Indicates if power save mode was enabled on the device at the time the test was taken.","boolean","2022-03-22","5"
"attr_device_language","The default language setting on the device. Example: en-GB denotes English, Great Britain; es-MX denotes Spanish, Mexico ","text","2022-03-22","5"
