"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"ts_aggregate_date","First day of the aggregate period","datetime","November 19, 2025","35"
"attr_aggregation_period","Aggregation time period. Options include: Day, Week, Month, Quarter, Half-Year, Year","text","November 19, 2025","45"
"attr_place_name","Unabbreviated location name for which the data are aggregated","text","November 19, 2025","255"
"attr_place_country_code","The two-letter ISO country code associated with attr_place_country","text","November 19, 2025","2"
"attr_place_type","Place type of the returned resultCountryRegionAdministrative Area Level 2Administrative Area Level 3Administrative Area Level 4Administrative Area Level 5City/LocalityNeighborhoodSublocality Level 1","text","November 19, 2025","255"
"id_place_type","The ID number assigned to the place type. This field will be helpful if multiple geographies have the same name.1 = city/locality2 = neighborhood3 = sublocality level 18 = administrative area level 19 = administrative area level 210 = administrative area level 311 = administrative area level 412 = administrative area level 514 = country","integer","November 19, 2025","2"
"attr_provider_name","Mobile Operator or ISP Name, orAll providers combined","text","November 19, 2025","255"
"technology_type (mobile) / platform (fixed)","Technology platform of test taken as indicated in Speedtest Portal","text","November 19, 2025","45"
"val_game_score","The Game Score achieved during the aggregation period (0-100 points).","number ","November 19, 2025","100"
"val_p90_download_speed_mbps","90th percentile download speed achieved during the aggregation period (Mbps)","number ","November 19, 2025","10"
"val_median_download_speed_mbps","Median download speed achieved during the aggregation period (Mbps)","number ","November 19, 2025","10"
"val_p90_upload_speed_mbps","90th percentile upload speed achieved during the aggregation period (Mbps)","number ","November 19, 2025","10"
"val_median_upload_speed_mbps","Median upload speed achieved during the aggregation period (Mbps)","number ","November 19, 2025","10"
"val_p10_game_latency_ms","10th percentile game latency achieved during the aggregation period (ms)","number ","November 19, 2025","10"
"val_median_game_latency_ms","Median game latency achieved during the aggregation period (ms)","number ","November 19, 2025","10"
"val_p10_game_jitter_ms","10th percentile game jitter achieved during the aggregation period (ms)","number ","November 19, 2025","10"
"val_median_game_jitter_ms","Median game jitter achieved during the aggregation period (ms)","number ","November 19, 2025","10"
"val_performance_sample_count","The number of samples used to calculate Game Score, after quality filtering. Speedtest CI source.","number ","November 19, 2025","10"
"val_game_latency_sample_count","The number of game latency samples, after quality filtering. CQOE source.","number ","November 19, 2025","10"
