"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"date_aggregate","As of July 1, 2024: The first day of the most recently completed month in the aggregate. For example, in early July customers will receive a file with date_aggregate: 2024-06-01, representing global index aggregates over April, May, and June time frames combined (rolling quarter). Prior to July 1, 2024: The first day of the month reported","datetime","2022-07-14","35"
"attr_service_type","The indicator for the type of service (e.g. fixed, mobile)","text","2022-07-14","6"
"attr_place_country","Unabbreviated country name","text","2022-07-14","255"
"attr_place_country_code","The two-digit country code","text","2022-07-14","2"
"metric_mean_download_mbps","Mean download speed achieved during the time period reported. Measured in megabits per second (Mbps). Available for country-level data only.","number","2022-07-14","11"
"metric_median_download_mbps","Median download speed achieved during the time period reported. Measured in megabits per second (Mbps).","number","2022-07-14","11"
"metric_mean_upload_mbps","Mean upload speed achieved during the time period reported. Measured in megabits per second (Mbps). Available for country-level data only.","number","2022-07-14","11"
"metric_median_upload_mbps","Median upload speed achieved during the time period reported. Measured in megabits per second (Mbps).","number","2022-07-14","11"
"metric_mean_latency_ms","Mean latency time achieved during the time period reported. Measured in milliseconds (ms). Available for country-level data only.","number","2022-07-14","6"
"metric_median_latency_ms","Median latency time achieved during the time period reported. Measured in milliseconds (ms).","number","2022-07-14","6"
"metric_mean_jitter_ms","The mean variance in latency over time which determines the stability of the internet connection. Measured in milliseconds (ms). Available for country-level data only.","number","2022-07-14","4"
"metric_median_jitter_ms","The median variance in latency over time which determines the stability of the internet connection. Measured in milliseconds (ms).","number","2022-07-14","4"
"attr_place_type","Denotes the place type: city or country.","text","2022-10-15","255"
"attr_place_name","The place name of the city or country.","text","2022-10-15","255"
"val_mean_download_rank","The Global Index rank based on mean download speed. Available for country-level data only.","number","2022-10-15","4"
"val_median_download_rank","The Global Index rank based on median download speed.","number","2022-10-15","4"
"val_mean_download_rank_change","The change in mean download rank from the previous reporting period. Available for country-level data only.","number","2022-10-15","4"
"val_median_download_rank_change","The change in median download rank from the previous reporting period.","number","2022-10-15","4"
