"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size","Platform Type"
"guid_result","A globally unique ID","text","2023-07-01","22","Mobile + Wifi"
"id_device","Public-facing unique ID of the user/device.","text","2023-07-01","35","Mobile + Wifi"
"id_platform","Denotes the platform on which the test was taken: Android or iOS","text","2023-07-01","7","Mobile + Wifi"
"attr_latency_type","Denotes the type of latency test performed. Options include: cdn, game, video, cloud","text","2023-07-01","18","Mobile + Wifi"
"attr_service_name","An array of service names to which the test was conducted.","text","2023-07-01","255","Mobile + Wifi"
"ts_result","Date and time of the test in UTC","datetime","2023-07-01","19","Mobile + Wifi"
"ts_result_received","Date and time that the test result was received the device.","datetime","2023-07-01","19","Mobile + Wifi"
"attr_device_model_raw","Raw (or Android API-returned) model of the device.","text","2023-07-01","255","Mobile + Wifi"
"attr_device_brand_raw","Raw (or Android API-returned) brand of the device.","text","2023-07-01","255","Mobile + Wifi"
"attr_device_os_version","The version of the operating system being used by the device at the time of the test.","text","2023-07-01","20","Mobile + Wifi"
"num_device_sim_slots","The number of SIM slots available in the device","integer","2023-07-01","1","Mobile + Wifi"
"id_device_sim_slot","The SIM slot associated with data bearing SIM","integer","2023-07-01","1","Mobile + Wifi"
"attr_sim_operator_mcc","The mobile country code (MCC) of the SIM card operator.","integer","2023-07-01","3","Mobile + Wifi"
"attr_altsim_operator_mcc","The mobile country code (MCC) from alternate SIM card when using a dual SIM device.","integer","2023-07-01","3","Mobile + Wifi"
"attr_sim_operator_mnc","The mobile network code (MNC) of the SIM card operator.","integer","2023-07-01","3","Mobile + Wifi"
"attr_altsim_operator_mnc","The mobile network code (MNC) from alternate SIM card when using a dual SIM device.","integer","2023-07-01","3","Mobile + Wifi"
"attr_sim_operator_name_raw","The raw name of the SIM card provider as reported by the device. This will sometimes show the name of the MVNO rather than the carrier that owns the PLMN network.","text","2023-07-01","255","Mobile + Wifi"
"attr_altsim_operator_name_raw","Mobile carrier name from alternate SIM card when using a dual SIM device.","text","2023-07-01","255","Mobile + Wifi"
"attr_network_operator_mcc","The MCC code associated with the connected cell site during the test.","integer","2023-07-01","3","Mobile + Wifi"
"attr_network_operator_mnc","The MNC code associated with the connected cell site during the test.","integer","2023-07-01","3","Mobile + Wifi"
"attr_network_operator_name_raw","The name of the network operator as returned by the device.","text","2023-07-01","255","Mobile + Wifi"
"attr_network_asn","The Autonomous System Number (ASN) as reported by MaxMind.","integer","2023-07-01","10","Mobile + Wifi"
"num_connections_failed","The number of failed pings that occurred during the latency test.","integer","2023-07-01","1","Mobile + Wifi"
"is_connection_carrier_aggregation","TRUE if carrier aggregation is in use.","boolean","2023-07-01","5","Mobile"
"attr_connection_nr_state","New Radio state of the mobile data network. Returns one of the following:1 = RESTRICTED. The device is camped on an LTE cell that supports E-UTRA-NR Dual Connectivity(EN-DC) but either the use of dual connectivity with NR(DCNR) is restricted or NR is not supported by the selected PLMN.2 = NOT_RESTRICTED. The device is camped on an LTE cell that supports E-UTRA-NR Dual Connectivity(EN-DC) and both the use of dual connectivity with NR(DCNR) is not restricted and NR is supported by the selected PLMN.3 = CONNECTED. The device is camped on an LTE cell that supports E-UTRA-NR Dual Connectivity(EN-DC) and also connected to at least one 5G cell as a secondary serving cell.0 = NONE. The device isn't camped on an LTE cell or the LTE cell doesn't support E-UTRA-NR Dual Connectivity(EN-DC).","integer","2023-07-01","1","Mobile"
"id_connection_network_override_type","Indicates if a network type override occurred. Often associated with the network type icon displayed on the device.0 = no override1 = LTE with carrier aggregation2 = LTE advanced pro3 = NR NSA4 = NR NSA mmWave5 = NR advanced (NR network with data rate that is higher than the generic 5G rate such as mmWave, unique bands, or carrier aggregation)","integer","2023-07-01","1","Mobile + Wifi"
"attr_connection_downstream_bandwidth_kbps","Downstream bandwidth for the network (in Kbps). This only refers to the estimated first hop transport bandwidth.","integer","2023-07-01","8","Mobile + Wifi"
"attr_connection_upstream_bandwidth_kbps","Upstream bandwidth for the network (in Kbps). This only refers to the estimated first hop transport bandwidth.","integer","2023-07-01","8","Mobile + Wifi"
"attr_vops_support","Indicates if network supports VoPS; values include 1 = LTE_STATUS_NOT_AVAILABLE, 2 = LTE_STATUS_SUPPORTED, 3 = LTE_STATUS_NOT_SUPPORTED","integer","2023-07-01","1","Mobile + Wifi"
"attr_location_latitude","The latitude of the device conducting the test. If location type equals 2, this value is approximate.","number","2023-07-01","10","Mobile + Wifi"
"attr_location_longitude","The longitude of the device conducting the test. If location type equals 2, this value is approximate.","number","2023-07-01","10","Mobile + Wifi"
"attr_location_accuracy_m","The accuracy of the location data collected from the device expressed in meters.","integer","2023-07-01","5","Mobile + Wifi"
"attr_location_age_ms","Indicates the time elapsed (in ms) from when the user's location information was collected and the test was taken.","integer","2023-07-01","11","Mobile + Wifi"
"attr_location_altitude_m","The altitude (in meters) above the WGS 84 reference ellipsoid. NULL If this location does not have an altitude value.","number","2023-07-01","12","Mobile + Wifi"
"attr_location_vertical_accuracy_m","Estimated vertical (altitude) accuracy of this location, in meters.","number","2023-07-01","12","Mobile + Wifi"
"attr_location_speed_mps","Indicates the speed that the device may have been moving during the test, measured in meters per second.","number","2023-07-01","12","Mobile + Wifi"
"attr_location_speed_accuracy_mps","Estimated location speed accuracy in mps.","number","2023-07-01","14","Mobile + Wifi"
"val_latency_ms","The result of the latency portion of the test, measured in milliseconds.","number","2023-07-01","5","Mobile + Wifi"
"val_jitter_ms","The variance in latency over time which determines the stability of the internet connection.","number","2023-07-01","5","Mobile + Wifi"
"attr_network_ipv4_address","This is the IPv4 address from which the request to was generated. The last octet of the user's external IP address is masked for addresses that are not on your network.","text","2023-07-01","15","Mobile + Wifi"
"attr_network_ipv6_address","This is the IPv6 address from which the request to was generated. The last octet of the user's external IP address is masked for addresses that are not on your network.","text","2023-07-01","15","Mobile + Wifi"
"attr_data_source_version","The SDK version number.","text","2023-07-01","10","Mobile + Wifi"
"attr_server_name","The name of the server used for the test. This is typically the Region and City where the server is located.","text","2023-07-01","100","Mobile + Wifi"
"attr_server_ipv4_address","The IPv4 address of the server used during testing.","text","2023-07-01","15","Mobile + Wifi"
"attr_server_ipv6_address","The IPv6 address of the server used during testing.","text","2023-07-01","15","Mobile + Wifi"
"attr_server_url","The server URL or IP address used during the test.","text","2023-07-01","100","Mobile + Wifi"
"is_device_rooted","TRUE if the device allows running applications with root level permissions, otherwise FALSE. Note, if TRUE the device may be running software that reports false information.","boolean","2023-07-01","5","Mobile + Wifi"
"is_network_vpn","TRUE if the device was connected to a VPN.","boolean","2023-07-01","5","Mobile + Wifi"
"val_signal_rsrp_dbm","Reference Signal Received PowerLTE metric displaying the received power of the reference LTE signal, often referred to as ""signal strength"". Range: [-40, -140], where -140 is poor and -44 is best","integer","2023-07-01","16","Mobile"
"val_signal_csi_rsrp_dbm","CSI Reference Signal Received Power (CSI-RSRP)The linear average over the power contributions (in [W]) of the resource elements of the antenna port(s) that carry CSI reference signals configured for RSRP measurements within the considered measurement frequency bandwidth in the configured CSI-RS occasions. Reference: 3GPP TS 38.215.Range: [-40, -140], where -140 is poor and -44 is best","integer","2023-07-01","16","Mobile"
"val_signal_ss_rsrp_dbm","Synchronization Signal Reference Signal Received Power (SS-RSRP)The linear average over the power contributions (in [W]) of the resource elements that carry secondary synchronization signals. Reference: 3GPP TS 38.215.[-40, -140], where -140 is poor and -44 is best","integer","2023-07-01","16","Mobile"
"val_signal_rsrq_db","Reference Signal Received QualityThe received quality of the LTE reference signal.Range: [-20, -3] where -20 is poor and -3 is best","integer","2023-07-01","8","Mobile"
"val_signal_csi_rsrq_db","CSI Reference Signal Received Quality (CSI-RSRQ)The ratio of N×CSI-RSRP to CSI-RSSI, where N is the number of resource blocks in the CSI-RSSI measurement bandwidth. Reference: 3GPP TS 38.215.Range: [-20, -3] where -20 is poor and -3 is best","integer","2023-07-01","8","Mobile"
"val_signal_ss_rsrq_db","Synchronization Signal Reference Signal Received Quality (SS-RSRQ)The ratio of N×SS-RSRP / NR carrier RSSI, where N is the number of resource blocks in the NR carrier RSSI measurement bandwidth. Reference: 3GPP TS 38.215.Range: [-20, -3] where -20 is poor and -3 is best","integer","2023-07-01","8","Mobile"
"val_signal_rssnr_db","Reference Signal Signal-to-Noise RatioPerhaps the most important KPI, but it's rarely properly reported in Android OS. It's the ratio between the noise and signal of the LTE data transmission.Range: [-30, +30], where -30 is poor and +30 is best","integer","2023-07-01","16","Mobile"
"val_signal_csi_snr_db","CSI signal-to-noise and interference ratio (CSI-SNR)The linear average over the power contribution (in [W]) of the resource elements carrying CSI reference signals divided by the linear average of the noise and interference power contribution (in [W]). Reference: 3GPP TS 38.215.Range: [-30, +30], where -30 is poor and +30 is best","integer","2023-07-01","16","Mobile"
"val_signal_ss_snr_db","SS signal-to-noise and interference ratio (SS-SNR)The linear average over the power contribution (in [W]) of the resource elements carrying secondary synchronisation signals divided by the linear average of the noise and interference power contribution (in [W]). Reference: 3GPP TS 38.215.Range: [-30, +30], where -30 is poor and +30 is best","integer","2023-07-01","16","Mobile"
"val_signal_asu","Arbitrary Strength Unit. This value is proportional to the device's signal strength, but the calculation for determining the actual signal strength varies by connection type. The valid value range for GSM and WCDMA is 0 to 31 while CDMA and LTE have a valid range of 0 to 97, with 99 representing unknown across all connection types. For more information on ASU and calculating true signal strength, please see 3GPP RSRP document GPP 27.007 (Ver 10.3.0) Sec 8.69.","integer","2023-07-01","10","Mobile"
"val_signal_timing_advance_ts","LTE Timing Advance measured in Ts.","integer","2023-07-01","16","Mobile"
"val_signal_cqi","CQI stands for Channel Quality Indicator. As the name implies, it is an indicator carrying the information on how good/bad the communication channel quality is. In LTE, there are 15 different CQI values ranging from 1 to 15 and mapping between CQI and modulcation scheme.In HSDPA, the CQI value ranges from 0 to 30. 30 indicates the best channel quality and 0,1 indicates the poorest channel quality.","integer","2023-07-01","8","Mobile"
"id_cell_primary","The primary cell ID that the device is connected to during the test.","integer","2023-07-01","32","Mobile"
"attr_cell_pci","Physical Cell Identity. An integer to identify the physical LTE, LTE+NR, or NR cell the user is connected to. The value is unique to the physical cell antennae rather than a specific cell tower. Valid values are 0 to 503.","integer","2023-07-01","16","Mobile"
"attr_cell_lac","GSM, WCDMA. A 16-bit integer representing a cell's location within a given operator's system.","integer","2023-07-01","32","Mobile"
"attr_cell_frequency_channel","The Absolute Radio Frequency Channel Number (ARFCN) is a unique number given to each radio channel in GSM. The ARFCN can be used to calculate the exact frequency of the radio channel. Within the GSM900 band ARFCN 1 to 124 are used. In the GSM1800 band ARFCN 512 to 885 are used.The UTRA Absolute Radio Frequency Channel Number (UARFCN) is a unique number given to each radio channel within the frequency bands used by the UMTS UTRA. The UARFCN can be used to calculate the carrier frequency.The E-UTRA Absolute Radio Frequency Channel Number (EARFCN). In LTE, the carrier frequency in the uplink and downlink is designated by EARFCN, which ranges between 0-65535. EARFCN uniquely identify the LTE band and carrier frequency. EARFCN is independent of channel bandwidth.","integer","2023-07-01","32","Mobile"
"attr_cell_frequency_channel_type","The type of cell frequency channel, such as ARFCN, UARFCN, EARFCN.","text","2023-07-01","6","Mobile"
