"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"aggregate_date","First day of the aggregate period","datetime","2022-09-14","35"
"place_name","Unabbreviated location name; typically the city where the test are taken","text","2022-09-14","255"
"region","Region name where tests are taken. This is the first-order civil entity in a country level. Depending on the country, these are states, provinces, or territories, etc","text","2022-09-14","255"
"subregion","The subregion name where the tests are taken. This is the second-order civil entity in a country level. Depending on the country, these are county-level or provincial-level names. Not all countries display this information.","text","2022-09-14","255"
"place_type","Place type of the returned result; most often ""locality"" which is an incorporated city or town political entity","text","2022-09-14","255"
"carrier_name","Mobile operator name or ""all providers combined""","text","2022-09-14","255"
"aggregation_period","Aggregation time period. Options include: Day, Week, Month, Quarter, Year","text","2022-09-14","45"
"aggregate_type","Describes the aggregate type: Availability, Service","text","2022-09-14","45"
"availability_technology_type","The cellular technology as displayed in the portal for the aggregate time period.","text","2022-09-14","10"
"availability_device_category","The device category for the aggregate time period.","text","2022-09-14","10"
"availability_sample_count","The availability sample count for the aggregate time period.","number","2022-09-14","10"
"availability_scan_count","The unfiltered scan count for the aggregate time period.","number","2022-09-14","10"
"availability_technology_device_count","The availability device count for the technology type for the aggregate time period.","number","2022-09-14","10"
"availability_total_device_count","The total availability device count for the aggregate time period.","number","2022-09-14","10"
"availability_percentage","This is availability, the percentage of devices in each tech category, in decimal form: device_count/total_device_count","number","2022-09-14","10"
"service_percent","The general service percentage for the aggregate time period.","number","2022-09-14","10"
"service_lte_percent","The LTE availability percentage for the aggregate time period.","number","2022-09-14","10"
"service_on_network_percent","The on-network percentage for the aggregate time period.","number","2022-09-14","10"
"service_scan_count","The unfiltered scan count for the aggregate time period.","number","2022-09-14","10"
"service_sample_count","The service sample count for the aggregate time period.","number","2022-09-14","10"
"service_device_count","The unfiltered device count for the aggregate time period.","number","2022-09-14","10"
"service_coverage_score","The coverage score for the aggregate time period.","number","2022-09-14","10"
"service_footprint","The footprint (the fraction of all unique service tiles where the operator has seen service) for the aggregate time period.","number","2022-09-14","10"
