"Field Name","Definition","Data Type","Date Available","Max Field Size"
"id_result","A unique ID for every Speedtest performed based on the platform. ","integer","2022-09-30","11"
"guid_result","A globally unique ID for every Speedtest performed. ","string","2022-09-30","32"
"id_platform","Denotes the platform on which the test was taken:1 = Android2 = iOS","integer","2022-09-30","1"
"ts_result","Date and time of the test in UTC.","datetime","2022-09-30","19"
"ts_result_received","Date and time that Ookla received the test result from the device.","datetime","2022-09-30","19"
"attr_location_timezone","Name of user's timezone at location of test.","text","2022-09-30","50"
"id_device","Public-facing unique ID of the user/device.","integer","2022-09-30","11"
"attr_device_android_fingerprint","The device model and OS version of the user's device. Not standardized across all manufacturers. Rather than Android fingerprint, rely on the device and hardware fields for accurate information about the device hardware.","text","2022-09-30","255"
"attr_device_model","The Ookla-derived common name of the model of the device used for testing.","text","2022-09-30","255"
"attr_device_manufacturer","The manufacturer of the device used for testing.","text","2022-09-30","255"
"attr_device_model_raw","Raw (or Android API-returned) model of the device.","text","2022-09-30","255"
"attr_device_manufacturer_raw","Raw (or Android API-returned) manufacturer of the device.","text","2022-09-30","255"
"attr_device_brand_raw","Raw (or Android API-returned) brand of the device.","text","2022-09-30","255"
"attr_device_chipset","Ookla-maintained device chipset name.","text","2022-09-30","255"
"attr_device_chipset_manufacturer","Ookla-maintained device chipset manufacturer name.","text","2022-09-30","255"
"attr_device_hardware_name","The device hardware name, as reported by the Android kernel.","text","2022-09-30","255"
"attr_device_os_version","The version of the operating system being used by the device at the time of the test.","text","2022-09-30","20"
"attr_device_build","The Android build ID reflects the version of Android installed on the device. The build ID typically follows a standard convention of AAA##A, but some device manufacturers chose to implement their own convention. More information about Android build IDs can be found at https://source.android.com/source/build-numbers.html.","text","2011-03-01","255"
"is_device_rooted","TRUE if the device allows running applications with root level permissions, otherwise FALSE. Note, if TRUE the device may be running software that reports false information.","boolean","2022-09-30","5"
"attr_device_radio","The version string for the radio firmware.","text","2022-09-30","255"
"attr_device_ram_mb","Maximum system memory in megabytes available to UE kernel.","integer","2022-09-30","19"
"attr_device_storage_mb","Maximum capacity in megabytes of UE file system, excluding any secondary storage such as SD cards.","integer","2022-09-30","19"
"is_device_world_phone","TRUE if the device is designated as a world phone by Android.","boolean","2022-09-30","5"
"attr_device_multi_sim_support","Indicates if the usage of multiple SIM cards is supported by the device and by the carrier.0 = MULTISIM_ALLOWED if the device supports multiple SIMs 1 = MULTISIM_NOT_SUPPORTED_BY_HARDWARE if the device does not support multiple SIMs2 = MULTISIM_NOT_SUPPORTED_BY_CARRIER in the device supports multiple SIMs, but the functionality is restricted by the carrier","integer","2022-09-30","1"
"num_device_active_modems","The number of logical modems currently configured to be activated. 0 = voice, sms, data is not supported 1 = single standby mode (single SIM functionality) 2 = dual standby mode (dual SIM functionality)3 = tri standby mode (tri SIM functionality)","integer","2022-09-30","1"
"num_device_supported_modems","The number of logical modem that can be potentially active simultaneously, in terms of hardware capability.","integer","2022-09-30","1"
"is_device_concurrent_voice_data_supported","TRUE if the device is currently on a technology (e.g. UMTS or LTE) which can support voice and data simultaneously. This can change based on location or network condition.","boolean","2022-09-30","5"
"is_device_data_connection_allowed","TRUE if a cellular data connection is allowed in the device.Whether cellular data connection is allowed considers all factors below:User turned on data setting isDataEnabled().Carrier allows data to be on.Network policy.And possibly others.","boolean","2022-09-30","5"
"is_device_data_capable","TRUE if the current device is ""data capable"" over a radio on the device. ""Data capable"" means that this device supports packet-switched data connections over the telephony network.","boolean","2022-09-30","5"
"is_device_data_roaming_enabled","TRUE mobile data roaming is enabled on the subscription.","boolean","2022-09-30","5"
"is_device_icc_card_present","TRUE if a ICC (Integrated Circuit Card or smart card) card is present.","boolean","2022-09-30","5"
"attr_device_service_state","Indicates the phone's service state: 0 = STATE_IN_SERVICE. Normal operation condition, the phone is registered with an operator either in home network or in roaming.1 = STATE_OUT_OF_SERVICE. Phone is not registered with any operator, the phone can be currently searching a new operator to register to, or not searching to registration at all, or registration is denied, or radio signal is not available.)2 = STATE_EMERGENCY_ONLY. The phone is registered and locked. Only emergency numbers are allowed.3 = STATE_POWER_OFF. Radio of telephony is explicitly powered off.","integer","2022-09-30","1"
"attr_device_thermal_status","The current thermal status of the device. 0 = not under thermal throttling1 = light throttling where UX is not impacted2 = moderate throttling where UX is not largely impacted3 = severe throttling where UX is largely impacted4 = critical, platform has done everything to reduce power5 = emergency, key components in platform are shutting down due to thermal condition. Device functionalities will be limited.6 = shutdown needed immediately","integer","2022-09-30","1"
