"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"aggregate_date","First day of the aggregate period","datetime","2020-09-24","35"
"place_name","Unabbreviated location name; typically the city where the test are taken","text","2020-09-24","255"
"region","Region name where tests are taken. This is the first-order civil entity in a country level. Depending on the country, these are states, provinces, or territories, etc","text","2020-09-24","255"
"place_type","Place type of the returned result; most often ""locality"" which is an incorporated city or town political entity","text","2020-09-24","255"
"carrier_name/isp_name","Mobile Operator or ISP NameAll providers combined","text","2020-09-24","255"
"aggregation_period","Aggregation time period. Options include: Day, Week, Month, Quarter, Year","text","2020-09-24","45"
"technology_type (mobile) / platform (fixed)","Technology platform of test taken as indicated in Speedtest Portal","text","2020-09-24","45"
"test_count","The number of raw tests in the aggregate period","number","2020-09-24","10"
"sample_count","The number of samples included in the aggregate period","number","2020-09-24","10"
"device_count/ip_count","The number of unique devices included in the aggregate period.","number","2020-09-24","10"
"mean_download_kbps","Mean download speed achieved during the time period in question (Kbps)","number","2020-09-24","10"
"mean_upload_kbps","Mean upload speed achieved during the time period in question (Kbps)","number","2020-09-24","10"
"mean_latency_ms","Median latency speed achieved during the time period in question (ms)","number","2020-09-24","10"
"median_download_kbps","Median download speed achieved during the time period in question (Kbps)","number","2021-03-17","10"
"median_upload_kbps","Median upload speed achieved during the time period in question (Kbps)","number","2021-03-17","10"
"median_latency_ms","Median latency speed achieved during the time period in question (ms)","number","2021-03-17","10"
"speedscore","(Legacy) The Speedscore achieved during the time period in question (Kbps). ","number","2021-03-17","10"
"country_code","The two-letter ISO country code for tests represented in the aggregate.","text","2021-03-17","2"
"p10_download_kbps","10th percentile download speed achieved during the time period in question (Kbps)","number","2022-03-28","10"
"p90_download_kbps","90th percentile download speed achieved during the time period in question (Kbps)","number","2022-03-28","10"
"p10_upload_kbps","10th percentile upload speed achieved during the time period in question (Kbps)","number","2022-03-28","10"
"p90_upload_kbps","90th percentile upload speed achieved during the time period in question (Kbps)","number","2022-03-28","10"
"p10_latency_ms","10th percentile latency speed achieved during the time period in question (ms)","number","2022-03-28","10"
"p90_latency_ms","90th percentile latency speed achieved during the time period in question (ms)","number","2022-03-28","10"
"mean_jitter (fixed, isp)","Mean jitter (variance in latency) during the time period in question (ms).","number","2022-03-28","4"
"median_jitter (fixed, isp)","Median jitter (variance in latency) during the time period in question (ms).","number","2022-03-28","4"
"consistency_percentage","The Consistency Percentage achieved during the time period in question. Consistency Percentage measures what percentage of a provider's samples equals or exceeds both a download and upload threshold. Current thresholds: Mobile 5G and Fixed: 25 Mbps download and 3 Mbps upload; Mobile (except 5G): 5 Mbps download and 1 Mbps upload.","number","2022-06-29","4"
"subregion","The subregion name where the tests are taken. This is the second-order civil entity in a country level. Depending on the country, these are county-level or provincial-level names. Not all countries display this information.","text","2022-09-14","255"
"multi_server_latency","The result of multi-server latency for the aggregated time period, based on server selection, measured in milliseconds.","number","2023-03-22","10"
"multi_server_jitter","The result of multi-server jitter for the aggregated time period, based on server selection, measured in milliseconds.","number","2023-03-22","10"
"subsubregion","The subsubregion name where the tests are taken. This is the third-order civil entity in a country level. Depending on the country, these are county-level or provincial-level names. Not all countries display this information.","text","2023-06-21","255"
"place_type_id","The ID number assigned to the place type. This field will be helpful if multiple geographies have the same name.1 = city/locality2 = neighborhood3 = sublocality level 18 = administrative area level 19 = administrative area level 210 = administrative area level 311 = administrative area level 412 = administrative area level 514 = country","integer","2023-09-20","2"
"isp_country","The country of the ISP. Field only available in Fixed Performance Aggregate.","text","2025-09-05","255"
"carrier_country","The country of the Carrier. Field only available in Mobile Performance Aggregate.","text","2025-09-05","255"
"place_id","Unabbreviated location name; typically the city where the test is taken.","number","2025-09-05","255"
