"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"test_id","Unique ID of the test.","number","2020-07-01","11"
"server_id","Unique ID of the server.","number","2020-07-01","5"
"download_connections","The number of connections established to the server during the download portion of the test.","number","2020-07-01","3"
"download_bytes","Bytes received by the client from the server during the download portion of the test.","number","2020-07-01","11"
"download_bytes_percent","Bytes received by the client from the server during the download portion of the test over the sum of bytes received by the client from all servers during the download portion of the test.","number","2020-07-01","5"
"name","City where server tested is located.","text","2020-07-01","255"
"country","Country where server tested is located.","text","2020-07-01","255"
"country_code","Country code of country where server is tested.","text","2020-07-01","2"
"latitude","Latitude of server tested.","number","2020-07-01","10"
"longitude","Longitude of server tested.","number","2020-07-01","10"
"sponsor_name","Name of the server tested.","text","2020-07-01","255"
"guid_result","A globally unique ID","text","2025-08-31","32"
