"Field Name","Definition","Data Type","Date Available","Max Field Size"
"guid_result","A globally unique ID for every speedtest performed based. ","string","2022-09-30","32"
"id_platform","Denotes the platform on which the test was taken:1 = Android2 = iOS3 = Web4 = MacOS5 = Windows","integer","2022-09-30","1"
"id_server","The ID number assigned to a server","number","2022-09-30","6"
"attr_server_name","The name of the server used for the test. This is typically the city where the server is located.","text","2022-09-30","255"
"attr_server_sponsor_name","The name of the test server sponsor. Combining server name and server sponsor will create a unique name for each server.","text","2022-09-30","255"
"attr_server_latitude","The latitude of the server used for the test.","number","2022-09-30","10"
"attr_server_longitude","The longitude of the server used for the test.","number","2022-09-30","10"
"attr_server_country","The country where the server used for the test is located.","text","2022-09-30","255"
"attr_server_country_code","The two letter country code (ISO 3166-1 alpha-2) of where the test server is located.","text","2022-09-30","2"
"val_server_latency_ms","The minimum latency value recorded during server selection, measured in milliseconds.","integer","2022-09-30","8"
"val_server_jitter_ms","The minimum jitter value for the recorded during server selection, measured in milliseconds.","integer","2022-09-30","9"
"val_server_latency_pings_ms","A comma-separated list of latency pings performed during server selection, measured in milliseconds.","integer","2022-10-25","8"
"is_server_on_net","TRUE if the server is on network.","boolean","2023-03-22","5"
"is_result_multiserver_latency_included","Indicates if the individual latency measurement was included in the multi-server latency calculation.","boolean","2023-03-22","5"
