"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"guid","Unique identifier for the scan, following the RFC 4122 format","text","2022-05-25","36"
"trigger_name","Enum describing the trigger for the scan: `timer`: scan triggered by timer, set by value in config response and moderated by Android scheduler`location`: scan triggered by detected change in device location","text","2022-05-25","100"
"result_date","Timestamp of the scan, using the device clock, in UTC, following ISO 8601 and the `YYYY-MM-DDThh:mm:ss.sssZ` format Note: Customers may have their extracts (but not real-time feeds) configured to provide this field in the timezone of their choice, in which case it will be in the `YYYY-MM-DDThh:mm:ss.sss±hh:mm` format.","datetime","2022-05-25","29"
"received_date","Timestamp of Ookla's receipt of the scan, in UTC, following ISO 8601 and the `YYYY-MM-DDThh:mm:ss.sssZ` format Note: Customers may have their extracts (but not real-time feeds) configured to provide this field in the timezone of their choice, in which case it will be in the `YYYY-MM-DDThh:mm:ss.sss±hh:mm` format.","datetime","2022-05-25","29"
"received_date_local","Timestamp of Ookla's receipt of the scan, in the device's local timezone, following ISO 8601 and the `YYYY-MM-DDThh:mm:ss.sss±hh:mm` format","datetime","2022-05-25","29"
"time_zone_name","The name of the deivce's local timezone at the time of the scan, using the Olson database timezone name format of `Area/Location`","text","2022-05-25","100"
"device_id","An identifier for the Android device, durable only up to reinstallation of the app that embeds the Ookla Android SDK, using a 16-character hexadecimal number","text","2022-05-25","16"
"valid_device_check","Whether the device identifier is valid","boolean","2022-05-25","5"
"device_model","The common/marketing name for the device model, based on an Ookla-maintained dataset","text","2022-05-25","255"
"device_manufacturer","The common/marketing name of the device manufacturer, based on an Ookla-maintained dataset","text","2022-05-25","255"
"device_model_raw","The model of the device as provided by Android APIs","text","2022-05-25","255"
"device_manufacturer_raw","The manufacturer of the device as provided by Android APIs","text","2022-05-25","255"
"device_brand_raw","The brand of the device as provided by Android APIs","text","2022-05-25","255"
"chipset_name","The name of the deivce chipset, based on an Ookla-maintained dataset","text","2022-05-25","255"
"chipset_manufacturer","The manufacturer of the device chipset, based on an Ookla-maintained dataset","text","2022-05-25","255"
"radio","The version of the device radio firmware","text","2022-05-25","255"
"os_version","The version of the Android operating system","text","2022-05-25","10"
"android_api_level","The Android API level corresponding to the Android operating system version","number","2022-05-25","3"
"android_build","The firmware build number of the Android operating system","text","2022-05-25","100"
"app_package_name","The Android package name of the app embedding the Ookla SDK, using reverse domain name notation","text","2022-05-25","255"
"app_version","The version of the Android app embedding the Ookla SDK, as (would be) provided to the Google Play Store","text","2022-05-25","11"
"sdk_version","The version of the Ookla SDK embedded in the Android app","text","2022-05-25","11"
"config_name","The name of the config used by the scan, as set in the Ookla customer portal","text","2022-05-25","100"
"config_type","The type of the config used by the scan, typically `signal-scan`","text","2022-05-25","11"
"supplemental_data","An arbitrary JSON object provided by the app to provide additional customer, user, or device context for the scan","text","2022-05-25","1000"
"app_foreground","Whether the app was in the foreground when the scan was taken","boolean","2022-05-25","5"
