"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"ts_aggregate_date","First day of the aggregate period","datetime","November 1, 2024","35"
"attr_aggregation_period","Aggregation time period. Options include: Day, Week, Month, Quarter, Half-Year, Year","text","November 2, 2024","45"
"attr_place_name","Unabbreviated location name for which the data are aggregated","text","November 3, 2024","255"
"attr_place_country_code","The two-letter ISO country code associated with attr_place_country","text","November 4, 2024","2"
"attr_place_type","Place type of the returned resultCountryRegionAdministrative Area Level 2Administrative Area Level 3Administrative Area Level 4Administrative Area Level 5City/LocalityNeighborhoodSublocality Level 1","text","November 5, 2024","255"
"id_place_type","The ID number assigned to the place type. This field will be helpful if multiple geographies have the same name.1 = city/locality2 = neighborhood3 = sublocality level 18 = administrative area level 19 = administrative area level 210 = administrative area level 311 = administrative area level 412 = administrative area level 514 = country","integer","November 6, 2024","2"
"attr_provider_name","Mobile Operator or ISP Name, orAll providers combined","text","November 7, 2024","255"
"val_total_test_count","The number of tests in the aggregation period, before quality filtering.","number","November 8, 2024","10"
"val_total_device_count (mobile) / val_total_user_count (fixed)","For Mobile data: The number of unique Speedtest devices and unique CQoE devices included in the aggregation period, prior to quality filtering. For Fixed data: The number of unique users included in the aggreation period, prior to quality filtering. ","number","November 9, 2024","10"
"attr_mobile_technologies_filter / attr_fixed_technologies_filter","Mobile: All Network Generations, 2G, 3G, 4G LTE, 5G, other, Modern Chipsets, 5G Capable, ""Modern Chipsets/All-tech""Fixed: All Fixed, Web Browser, Desktop App, Mobile App, WiFi, Ethernet, Cable, Copper, DSL, Fiber, Fixed 4G, Fixed 5G, Satellite, Mobile Broadband. ","text","November 10, 2024","255"
"val_overall_connectivity_score","The Overall Connectivity Score achieved during the aggregation period (0-100 points)","number","November 11, 2024","10"
"val_video_streaming_score","The Video Streaming Score achieved during the aggregation period (0-100 points)","number","November 12, 2024","10"
"val_video_streaming_score_sample_count","The number of samples used to calculate the Video Steaming Score, after quality filtering.","number","November 13, 2024","10"
"val_video_streaming_score_test_count","The number of test used to calculate the Video Steaming Score, before quality filtering.","number","November 14, 2024","10"
"val_web_browsing_score","The Web Browsing Score achieved during the aggregation period (0-100 points)","number","November 15, 2024","10"
"val_web_browsing_score_sample_count","The number of samples used to calculate the Web Browsing Score, after quality filtering.","number","November 16, 2024","10"
"val_web_browsing_score_test_count","The number of test used to calculate the Web Browsing Score, before quality filtering.","number","November 17, 2024","10"
"val_speed_score","The Speed Score 4.0 achieved during the aggregation period (0-100 points).","number","November 18, 2024","10"
"val_performance_sample_count","The number of samples used to calculate the Speed Score, after quality filtering.","number","November 19, 2024","10"
"val_performance_test_count","The number of test used to calculate the Speed Score, before quality filtering.","number","November 20, 2024","10"
"val_percentage_quick_video_start_p","The percentage of users who experience a video start time of less than 2 seconds, in a majority of playbacks.","number","November 21, 2024","10"
"val_percentage_uninterupted_playback_p","The percentage of users who experience no rebuffering events  in a majority of playbacks.","number","November 22, 2024","10"
"val_percentage_full_hd_resolution_p","The percentage of uses who experience 1080p or higher resolution, in a majority of playbacks.","number","November 23, 2024","10"
"val_web_page_load_time_ms","Web Page Load Time represents the time it takes for popular global websites to load during CQoE (Consumer Quality of Experience) tests.","number","November 24, 2024","10"
"val_p90_cdn_latency_ms","CDN Latency is a measure of latency to popular Content Delivery Networks. ","number","November 25, 2024","10"
"val_cdn_latency_sample_count","The number of CDN latency samples, after quality filtering. ","number","November 26, 2024","10"
"val_p90_video_conferencing_latency_ms","Video Conferencing Latency is a measure of latency to popular Video Conferencing services.","number","November 27, 2024","10"
"val_video_conferencing_latency_sample_count","The number of video conferencing latency samples, after quality filtering. ","number","November 28, 2024","10"
"val_p90_cloud_infrastructure_latency_ms","Cloud infrastructure latency is a measure of latency to popular cloud service providers. ","number","November 29, 2024","10"
"val_cloud_infrastructure_latency_sample_count","The number of cloud infrastructure latency samples, after quality filtering. ","number","November 30, 2024","10"
"val_p90_cdn_jitter_ms","The variation in CDN latency.","number","December 1, 2024","10"
"val_cdn_jitter_sample_count","The number of CDN jitter samples, after quality filtering. ","number","December 2, 2024","10"
"val_p90_video_conferencing_jitter_ms","The variation in video conferencing latency.","number","December 3, 2024","10"
"val_video_conferencing_jitter_sample_count","The number of video conferencing jitter samples, after quality filtering. ","number","December 4, 2024","10"
"val_p90_cloud_infrastructure_jitter_ms","The variation in cloud infrastructure latency.","number","December 5, 2024","10"
"val_cloud_infrastructure_jitter_sample_count","The number of cloud infrastructure jitter samples, after quality filtering. ","number","December 6, 2024","10"
"val_p10_download_speed_mbps","10th percentile download speed achieved during the aggregation period (Mbps)","number","December 7, 2024","10"
"val_median_download_speed_mbps","Median download speed achieved during the aggregation period (Mbps)","number","December 8, 2024","10"
"val_p90_download_speed_mbps","90th percentile download speed achieved during the aggregation period (Mbps)","number","December 9, 2024","10"
"val_download_speed_sample_count","The number of samples included in the aggregate period for Download Speed. Samples are aggregations of tests, after quality filtering.","number","December 10, 2024","10"
"val_p10_upload_speed_mbps","10th percentile upload speed achieved during the aggregation period (Mbps)","number","December 11, 2024","10"
"val_median_upload_speed_mbps","Median upload speed achieved during the aggregation period (Mbps)","number","December 12, 2024","10"
"val_p90_upload_speed_mbps","90th percentile upload speed achieved during the aggregation period (Mbps)","number","December 13, 2024","10"
"val_upload_speed_sample_count","The number of samples included in the aggregate period for Upload Speed. Samples are aggregations of tests, after quality filtering.","number","December 14, 2024","10"
"val_p10_primary_server_download_loaded_latency_ms","10th percentile Primary-Server Download Loaded Latency (which is the Interquartile mean (IQM) of latency tests taken during the download portion of a Speedtest) acheived during the aggregation period. ","number","December 15, 2024","10"
"val_median_primary_server_download_loaded_latency_ms","Median Primary-Server Download Loaded Latency (which is the Interquartile mean (IQM) of latency tests taken during the download portion of a Speedtest) acheived during the aggregation period. ","number","December 16, 2024","10"
"val_p90_primary_server_download_loaded_latency_ms","90th percentile Primary-Server Download Loaded Latency (which is the Interquartile mean (IQM) of latency tests taken during the download portion of a Speedtest) acheived during the aggregation period. ","number","December 17, 2024","10"
"val_primary_server_download_loaded_latency_sample_count","The number of samples included in the aggregate period for Primary Server Download Loaded Latency. Samples are aggregations of tests, after quality filtering.","number","December 18, 2024","10"
"val_p10_primary_server_upload_loaded_latency_ms","10th percentile Primary-Server Upload Loaded Latency (which is the Interquartile mean (IQM) of latency tests taken during the upload portion of a Speedtest) acheived during the aggregation period. ","number","December 19, 2024","10"
