"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"test_id","Unique ID of the test.","text","2020-10-01","36"
"test_date","Date and time of the test in the time zone you choose or in UTC (the default); Prior to 2/13/2018, the default was Pacific (GMT -8).","datetime","2020-10-01","19"
"client_ip_address","Tester's IP address. May be IPv4 or IPv6","text","2020-10-01","45"
"session_id","ID given to a user when they take a Speedtest. This ID is tied to a php web session and unless a user changes a browser or clears their cache, this ID will be the same for a unique user throughout all the Speedtests taken by that person.","number","2020-10-01","11"
"download_kbps","The result of the download portion of the test, measured in kilobits per second.","number","2020-10-01","11"
"upload_kbps","The result of the upload portion of the test, measured in kilobits per second.","number","2020-10-01","11"
"latency","The result of the latency portion of the test, measured in milliseconds.","number","2020-10-01","6"
"jitter","The variance in latency over time which determines the stability of the internet connection.","number","2020-10-01","6"
"server_name","City where server tested is located.","text","2020-10-01","255"
"server_country","Country where server tested is located.","text","2020-10-01","255"
"server_country_code","Country code of country where server is tested.","text","2020-10-01","2"
"server_latitude","Latitude of server tested against.","number","2020-10-01","10"
"server_longitude","Longitude of server tested against.","number","2020-10-01","10"
"server_sponsor_name","Name of the server tested against.","text","2020-10-01","255"
"server_selection","Whether the server used in the Speedtest was selected automatically or manually by the user ""auto"" indicates that the server was selected automatically ""user"" indicates that the server was selected manually by the user","text","2020-10-01","255"
"user_agent","User agent or web browser accessing Speedtest.net.","text","2020-10-01","255"
"isp_name","ISP name associated with IP Address.","text","2020-10-01","255"
"is_isp","""1"" is an ISP. ""0"" is another entity, like a government, university or corporate connection.","number","2020-10-01","1"
"isp_common_name","Common (marketing) name of the ISP.","text","2020-10-01","255"
"connection_type","User ISP/connection type (estimated).  0 = Unknown, 1 = Dialup, 2 = Cable/DSL, 3 = Corporate, 4 = Cellular","number","2020-10-01","3"
"client_country","The country where the device is located.","text","2020-10-01","255"
"client_country_code","The two letter country code (ISO 3166-1 alpha-2) of where the device was located.","text","2020-10-01","2"
"client_region_name","The region within a country where the test was conducted. How each country is divided into regions varies country to country, but this is typically the top level region as described in ISO-3166-2. If this field is labeled unknown and the field location type equals 2, we were unable to confidently assign a region to the record and the location is only accurate to the country level.","text","2020-10-01","255"
"client_region_code","The ISO-3166-2 region code of where the test was conducted.","text","2020-10-01","3"
"client_city","The city where the test was conducted. If this field is labeled unknown and the location type field equals 2, we were unable to confidently assign a city to the record and is only accurate to the region level.","text","2020-10-01","255"
"client_latitude","Latitude of location where test is taken.","number","2020-10-01","10"
"client_longitude","Longitude of location where test is taken.","number","2020-10-01","10"
"miles_between","Distance (in miles) between user at the start of the test and location of server.","number","2020-10-01","9"
"km_between","distance (in kilometers) between user at the start of the test and location of server.","number","2020-10-01","9"
"gmaps_country","Country where test is taken.","text","2020-10-01","100"
"gmaps_country_code","Country code where test is taken.","text","2020-10-01","2"
"gmaps_region","Region name where test is taken. This is the first-order civil entity in a country level. Depending on the country, these are states, provinces, or territories, etc.","text","2020-10-01","100"
"gmaps_subregion","Region name where test is taken. This is the second-order civil entity in a country level. Depending on the country, these are county-level names. Not all countries display this information.","text","2020-10-01","100"
"gmaps_subsubregion","Region name where test is taken. This is the third-order civil entity in a country level. Depending on the country, these are the level under counties. Not all countries display this information.","text","2020-10-01","250"
"gmaps_name","Unabbreviated location name; typically the city where the test is taken.","text","2020-10-01","100"
"gmaps_type","Type of locality where test is taken. This is typically an incorporated city or town political entity.","text","2020-10-01","100"
"gmaps_postal_code","Postal code for the test location. The postal code is that same as what is used to address mail within the country.","text","2020-10-01","100"
"gmaps_formatted_address","Full location name including city, county, region, and country, if available.","text","2020-10-01","100"
"test_method","Type of speed test taken; either HTTP, TCP, WS (websocket), or XHR. For some tests, we provide more granularity and break out the method that was used for each part of the test. In those cases, we provide the method in this order: latency, download, upload.","text","2020-10-01","45"
"timezone_name","Name of user's timezone at location of test, derived from reverse geocoding of the geo-IP location.","text","2020-10-01","100"
"timezone_offset_seconds","User's timezone offset relative to GMT, in seconds.","number","2020-10-01","9"
"supplemental_data","The additional field that is included in the SDK so that the user can configure and collect specific ID and other data to tie into their internal databases for customer case and other purposes.  If “NULL” then this field has not been configured. The save status of the supplemental data is included in the result submission response location: save.supplemental_data SAVE_SUCCESS: The supplemental data was persisted successfully.NO_DATA_FOUND: The supplemental data field was included but was empty or null.NOT_TYPE_STRING: The provided supplemental data field was not a string.EXCEEDS_MAX_LENGTH: The provided supplemental data field was more than the Maximum Allowed Length of characters.INVALID_JSON_SYNTAX: The provided supplemental data field failed to be parsed by JSON.parse() in the JavaScript language.SAVE_INSERT_ERROR: The attempt to write to the database failed.","text","2020-10-01","1000"
"referral_domain","This is the source of the test and refers to the domain the test was taken from","text","2020-10-01","100"
