"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size","Platform Type"
"guid_result","unique identifier for the measurement","text","07-01-2024","22","Mobile + Wifi"
"attr_place_country","Country where test is taken.","text","07-01-2024","100","Mobile + Wifi"
"attr_place_region","Region name where test is taken. This is the first-order civil entity in a country level. Depending on the country, these are states, provinces, or territories, etc.","text","07-01-2024","100","Mobile + Wifi"
"attr_place_subregion","Region name where test is taken. This is the second-order civil entity in a country level. Depending on the country, these are county-level names. Not all countries display this information.","text","07-01-2024","100","Mobile + Wifi"
"attr_place_subsubregion","Region name where test is taken. This is the third-order civil entity in a country level. Depending on the country, these are the level under counties. Not all countries display this information.","text","07-01-2024","100","Mobile + Wifi"
"attr_profile_name","the name of the traffic profile: Mobile gamingVRVideo conferencingComplex ARMedium ARSimple ARCloud gaming","text","07-01-2024","100","Mobile + Wifi"
"attr_server_url","the server used for the measurement","text","07-01-2024","100","Mobile + Wifi"
"attr_server_ipv4_address","The IPv4 address of the server used during testing.","text","07-01-2024","15","Mobile + Wifi"
"attr_downlink_profile","the downlink traffic profile used to collect the metrics in format[PACKET_SIZE,INTERVAL,NUMBER_OF_PACKETS] for specific segment or[[PACKET_SIZE,INTERVAL,NUMBER_OF_PACKETS],[PACKET_SIZE,INTERVAL,NUMBER_OF_PACKETS]...] for the whole profile","text","07-01-2024","100","Mobile + Wifi"
"val_downlink_throughput","the observed downlink throughput in Mbps","float","07-01-2024","20","Mobile + Wifi"
"val_downlink_packet_loss_ratio","the percentage of packets lost during the downlink measurement","float","07-01-2024","20","Mobile + Wifi"
"val_downlink_packet_count","the number of packets transferred during the downlink measurement","integer","07-01-2024","10","Mobile + Wifi"
"val_downlink_out_of_order_packets_ratio","the percentage of out of order downlink packets","float","07-01-2024","20","Mobile + Wifi"
"val_downlink_out_of_order_packets_count","the number of out of order downlink packets","integer","07-01-2024","10","Mobile + Wifi"
"val_downlink_mean_jitter","mean downlink jitter in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_downlink_iqm_jitter","interquartile mean downlink jitter in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_downlink_median_jitter","50th percentile (median) downlink jitter in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_downlink_p10_jitter","10th percentile downlink jitter in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_downlink_p90_jitter","90th percentile downlink jitter in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_downlink_minimum_jitter","minimum downlink jitter in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_downlink_maximum_jitter","maximum downlink jitter in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_downlink_mean_latency","mean downlink latency in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_downlink_iqm_latency","interquartile mean downlink latency in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_downlink_median_latency","50th percentile (median) downlink latency in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_downlink_p10_latency","10th percentile downlink latency in milliseconds","float","07-01-2024","6","Mobile + Wifi"
"val_downlink_p90_latency","90th percentile downlink latency in milliseconds","float","07-01-2024","6","Mobile + Wifi"
