"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"guid_result","Internal UUID identifying the report a group of records is associated with. This may be used to join to other datasets captured within the same report. Corresponds to guid_result in Speedtest F/MNPD Extracts.","text","2024-07-22","32"
"id_measurement","Internal UUID uniquely identifying this record. ","number","2024-07-22","12"
"id_platform","Denotes the platform on which the test was taken:1 = Android2 = iOS","number","2024-07-22","1"
"attr_scan_trigger","Indicator for which activity triggered the scan: timer: scan triggered by timer (approximately every 15 minutes)motion: scan triggered by motion from device sensors (deprecated)location update intent: scan triggered by another application requesting a locationlocation update callback: scan triggered by another application receiving a location","text","2024-07-22","100"
"ts_result","Date and time when scan was taken according to the device's time and date.","datetime","2024-07-22","19"
"ts_result_received","Date and time that Ookla received the measurement result from the device.","datetime","2024-07-22","19"
"id_device","Each individual device is assigned a unique ID, which is tied to all the tests taken on the device. A durable identifier for the Speedtest data collection platform; non-durable for the QoE data collection platform.","number","2024-07-22","11"
"attr_location_timezone","Name of the local time zone where the scan was taken","text","2024-07-22","100"
"attr_device_model_raw","Android Device API returned end-user-visible name for the end product. Ref: Android API: Build#MODEL","text","2024-07-22","255"
"attr_device_manufacturer_raw","Android Device API returned manufacturer of the product/hardware.","text","2024-07-22","255"
"attr_device_brand_raw","Android Device API returned consumer-visible brand with which the product/hardware will be associated, if any.","text","2024-07-22","255"
"attr_device_model","Common name (or marketed name) of the device; based on Ookla-maintained lookup tables","text","2024-07-22","255"
"attr_device_manufacturer","Common name of the device manufacturer","text","2024-07-22","255"
"attr_device_os_version","Version of the operating system used at the time of the scan. Reports the API level (example: 30). See https://source.android.com/setup/start/build-numbers for reference.","text","2024-07-22","20"
"attr_device_radio","The version string for the radio firmware.","text","2024-07-22","255"
"is_device_world_phone","TRUE if the device is a world phone.","text","2024-07-22","5"
"num_device_sim","The number of SIMs registered to the device during the test.","text","2024-07-22","2"
"attr_device_chipset","Ookla-maintained device chipset name.","text","2024-07-22","255"
"num_device_active_modems","The number of logical modems currently configured to be activated. 0 = voice, sms, data is not supported 1 = single standby mode (single SIM functionality) 2 = dual standby mode (dual SIM functionality)3 = tri standby mode (tri SIM functionality)","number","2024-07-22","1"
"num_device_supported_modems","The number of logical modem that can be potentially active simultaneously, in terms of hardware capability.","number","2024-07-22","1"
"is_device_data_capable","TRUE if the current device is ""data capable"" over a radio on the device. ""Data capable"" means that this device supports packet-switched data connections over the telephony network.","text","2024-07-22","5"
"is_device_data_enabled","TRUE if mobile data is enabled or not per user setting.","text","2024-07-22","5"
"is_device_data_connection_allowed","TRUE if a cellular data connection is allowed in the device.Whether cellular data connection is allowed considers all factors below:User turned on data setting isDataEnabled().Carrier allows data to be on.Network policy.And possibly others.","text","2024-07-22","5"
"is_device_data_roaming_enabled","TRUE if mobile data roaming is enabled on the subscription.","text","2024-07-22","5"
"is_device_icc_card_present","TRUE if ICC card present in the device. An ICC card is a smart card that contains a subscriber identity module (SIM) and is used to identify and authenticate users to a mobile network.","text","2024-07-22","5"
"attr_device_service_state","Text field describing the service state (in service, emergency only, power off, etc)","text","2024-07-22","32"
"id_device_vops_support","A flag indicating if voice over PS (e.g. VoLTE) is available in the cell.","Boolean","2024-07-22","5"
"is_device_registered_on_cell","TRUE if the phone is registered to a mobile network that provides service on this cell and this cell is being used or would be used for network signaling.","Boolean","2024-07-22","5"
"attr_device_display_state","The state of the display.0 = STATE_UNKNOWN, the display state is unknown1 = STATE_OFF, the display is off2 = STATE_ON, the display is on3 = STATE_DOZE, the display is dozing in a low power state; it is still on but is optimized for showing system-provided content while the device is non-interactive4 = STATE_DOZE_SUSPEND, the display is dozing in a suspended low power state; it is still on but the CPU is not updating it. This may be used in one of two ways: to show static system-provided content while the device is non-interactive, or to allow a ""Sidekick"" compute resource to update the display. For this reason, the CPU must not control the display in this mode.6 = STATE_ON_SUSPEND, the display is in a suspended full power state; it is still on but the CPU is not updating it. This may be used in one of two ways: to show static system-provided content while the device is non-interactive, or to allow a ""Sidekick"" compute resource to update the display. For this reason, the CPU must not control the display in this mode.","number","2024-07-22","1"
"attr_device_thermal_status","The current thermal status of the device. -1 = thermal status error0 = not under thermal throttling1 = light throttling where UX is not impacted2 = moderate throttling where UX is not largely impacted3 = severe throttling where UX is largely impacted4 = critical, platform has done everything to reduce power5 = emergency, key components in platform are shutting down due to thermal condition. Device functionalities will be limited.6 = shutdown needed immediately","number","2024-07-22","1"
"val_device_thermal_headroom","An estimate of how much thermal headroom the device currently has before hitting severe throttling. Values range from 0.0 to 1.0, where 1.0 indicates severe throttling threshold. Values may exceed 1.0, but there is no implied mapping to specific thermal status levels beyond that point.","number","2024-07-22","3"
"is_app_permission_phone_state","Indicates the user granted the app phone state permissions","text","2024-07-22","5"
"is_app_permission_fine_location","Indicates the user granted the app fine location permissions","text","2024-07-22","5"
"is_app_permission_coarse_location","Indicates the user granted the app coarse location permissions","text","2024-07-22","5"
"is_app_permission_background_location","Indicates the user granted the app background location permissions","text","2024-07-22","5"
"is_app_permission_wifi_state","Indicates the user granted the app wifi state permissions","text","2024-07-22","5"
"is_app_permission_billing","Indicates the user granted the app billing permissions","text","2024-07-22","5"
"is_app_permission_internet","Indicates the user granted the app internet permissions","text","2024-07-22","5"
"is_app_permission_network_state","Indicates the user granted the app network state permissions","text","2024-07-22","5"
"is_app_permission_boot","Indicates the user granted the app boot permissions (to restart jobs after reboot)","text","2024-07-22","5"
"attr_device_chipset_manufacturer","Ookla-maintained device chipset manufacturer name.","text","2024-07-22","255"
"attr_sim_operator_common_name","The name of the SIM card provider. In the case of MVNOs, this will be the name of the 'mother carrier' which owns the PLMN network","text","2024-07-22","255"
"attr_sim_operator_name_raw","The raw name of the SIM card provider. This will sometimes show the name of the MNVO rather than the mother carrier","text","2024-07-22","255"
"attr_sim_operator_mcc","The mobile country code of the SIM card operator","number","2024-07-22","3"
"attr_sim_operator_mnc","The mobile network code of the SIM card operator","number","2024-07-22","3"
"attr_altsim_operator_common_name","The name of the secondary/alternate SIM card provider when using a dual SIM device.","text","2024-07-22","255"
"attr_altsim_operator_name_raw","The raw name of the secondary/alternate SIM card provider when using a dual SIM device.","text","2024-07-22","255"
"attr_altsim_operator_mcc","The mobile country code of the secondary/alternate SIM card operator when using a dual SIM device.","number","2024-07-22","3"
"attr_altsim_operator_mnc","The mobile network code of the secondary/alternate SIM card operator when using a dual SIM device.","number","2024-07-22","3"
"attr_network_operator_common_name","The name of the operator that owns the network that the device is connected to","text","2024-07-22","255"
"attr_network_operator_mcc","The mobile country code of the network that the device is connected to","number","2024-07-22","3"
"attr_network_operator_mnc","The mobile network code of the network that the device is connected to","number","2024-07-22","3"
"attr_isp_common_name","ISP common name associated with IP Address. This will be the name displayed in the Speedtest Intelligence portal.","text","2024-07-22","255"
"attr_network_wcdma_additional_plmns","A list of additional PLMN IDs supported by this cell.","text","2024-07-22","255"
"attr_network_lte_additional_plmns","A list of additional PLMN IDs supported by this cell.","text","2024-07-22","255"
