"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"aggregate_date","First day of the aggregate period","datetime","2022-09-14","35"
"place_name","Unabbreviated location name; typically the city where the test are taken","text","2022-09-14","255"
"region","Region name where tests are taken. This is the first-order civil entity in a country level. Depending on the country, these are states, provinces, or territories, etc","text","2022-09-14","255"
"subregion","The subregion name where the tests are taken. This is the second-order civil entity in a country level. Depending on the country, these are county-level or provincial-level names. Not all countries display this information.","text","2022-09-14","255"
"place_type","Place type of the returned result; most often ""locality"" which is an incorporated city or town political entity","text","2022-09-14","255"
"provider_name","The provider name (Mobile Network Operator or ISP)","text","2022-09-14","255"
"aggregation_period","Aggregation time period. Options include: Day, Week, Month, Quarter, Year","text","2022-09-14","45"
"technology_type (mobile) / platform (fixed)","Technology platform of test taken as indicated in Speedtest Portal","text","2022-09-14","45"
"adaptive_sample_count","The total number of adaptive samples for the aggregate time period.","number","2022-09-14","10"
"adaptive_play_count","The total number of adaptive plays for the aggregate time period.","number","2022-09-14","10"
"median_start_delay ","The median start delay for the aggregate period, measured in seconds","number","2022-09-14","5"
"median_bitrate_mbps","The median media bitrate for the aggregate period, measured in Mbps.","number","2022-09-14","5"
"adaptive_rebuffering_ratio","The median adaptive rebuffering ratio for the aggregate period.","number","2022-09-14","5"
"median_stall_severity","The median stall severity for the aggregate time period.","number","2022-09-14","5"
"stall_proportion","The porportion of stall events to total playback during the aggregate time period.","number","2022-09-14","5"
"start_failure_proportion","The porportion of start failures during the aggregate time period.","number","2022-09-14","5"
"start_delay_score","The score component relating to start delays for the aggregate time period.","number","2022-09-14","5"
"average_bitrate_score","The score component relating to average bitrate for the aggregate time period.","number","2022-09-14","5"
"stall_proportion_score","The score component relating to stall porportion for the aggregate time period.","number","2022-09-14","5"
"stall_severity_score","The score component relating to stall severity for the aggregate time period.","number","2022-09-14","5"
"start_failure_score","The score component relating to start failures for the aggregate time period.","number","2022-09-14","5"
"video_score","The video score for the aggregate time period.","number","2022-09-14","5"
"client_ipv6_address","This is the IPv6 address from which the request to Ookla's reporting API was generated. The last octet of the user's external IP address is masked for addresses that are not on your network. Full IP addresses are available for your customers. Devices behind networks with carrier grade NAT may appear to share the same IPv6 address.","text","2024-05-15","45"
