"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"guid","Unique identifier for the video test; duplicated in cases of more than one video stage.","text","2021-03-23","32"
"platform","Indicates the Speedtest platform from which the test was taken. ""ios"" = iOS; ""android"" = Android","text","2021-03-23","10"
"result_date","Date and time when the test was taken in UTC (default).","datetime","2021-03-23","19"
"received_date","Date and time that Ookla received the test result from the device.","datetime","2021-03-23","19"
"received_date_local","Received date converted to the local timezone of the place record","datetime","2021-03-23","19"
"time_zone_name","Name of the local time zone where the test was taken","text","2021-03-23","100"
"video_stage","Indicates whether the stage was adaptive bitrate (""abr"") or a fixed resolution (""240p"", ""360p"", ""480p"", ""720p"", ""1080p"", ""1440p"", ""2160p"")","text","2021-03-23","10"
"video_test_error","Indicates the reason the video test errored: ""NoConfig"", ""UserCancel"", ""UserBackground"", ""PlayerError"", ""StartTimeout"", ""Timeout"". See the Speedtest Test Methodology for definitions.","text","2021-03-23","20"
"video_stage_error","Indicates the reason the video test stage errored: ""UserCancel"", ""UserBackground"", ""PlayerError"", ""StartTimeout"", ""Timeout"". See the Speedtest Test Methodology for definitions.","text","2021-03-23","20"
"video_start_timeout","Returns ""TRUE"" if the stage failed to play before the start delay timeout, ""FALSE"" otherwise.","text","2021-03-23","5"
"video_start_delay","Time in milliseconds from playback initiation to first frame.","integer","2021-03-23","5"
"video_stall_time","Time in milliseconds after first frame in which playback was stalled.","integer","2021-03-23","5"
"video_stall_count","The number of times after first frame in which playback was stalled.","integer","2021-03-23","3"
"video_stall_ratio","The amount of time playback is stalled after the first frame over the amount of time spent playing the video.","decimal","2021-03-23","5"
"video_stall_percentage","The percentage of video test time in which playback was stalled.","decimal","2021-03-23","5"
"video_average_bitrate","The average bitrate observed throughout the stage.","integer","2021-03-23","9"
"video_abr_bitrate_shift_count","The number of bitrate shifts that occurred during the adaptive bitrate stage.","integer","2021-03-23","3"
"video_abr_max_rendition","The highest bitrate rendition achieved during the adaptive bitrate stage.","text","2021-03-23","10"
"video_abr_majority_rendition","The rendition played for the majority of the adaptive bitrate stage.","text","2021-03-23","10"
"video_window_width","The width in pixels of the video window.","integer","2021-03-23","5"
